revenue,expenses,sla,tickets,customer_satisfaction
120500,96400,98.75,105,95
120600,96480,98.7,106,96
120700,96560,98.65,107,97
120800,96640,98.6,108,98
120900,96720,98.55,109,99
121000,96800,99.0,110,85
121100,96880,98.95,111,86
121200,96960,98.9,112,87
121300,97040,98.85,113,88
121400,97120,98.8,114,89
121500,97200,98.75,115,90
121600,97280,98.7,116,91
121700,97360,98.65,117,92
121800,97440,98.6,118,93
121900,97520,98.55,119,94
122000,97600,99.0,120,95
122100,97680,98.95,121,96
122200,97760,98.9,122,97
122300,97840,98.85,123,98
122400,97920,98.8,124,99
122500,98000,98.75,125,85
122600,98080,98.7,126,86
122700,98160,98.65,127,87
122800,98240,98.6,128,88
122900,98320,98.55,129,89
123000,98400,99.0,130,90
123100,98480,98.95,131,91
123200,98560,98.9,132,92
123300,98640,98.85,133,93
123400,98720,98.8,134,94
123500,98800,98.75,135,95
123600,98880,98.7,136,96
123700,98960,98.65,137,97
123800,99040,98.6,138,98
123900,99120,98.55,139,99
124000,99200,99.0,140,85
124100,99280,98.95,141,86
124200,99360,98.9,142,87
124300,99440,98.85,143,88
124400,99520,98.8,144,89
124500,99600,98.75,145,90
124600,99680,98.7,146,91
124700,99760,98.65,147,92
124800,99840,98.6,148,93
124900,99920,98.55,149,94
125000,100000,99.0,150,95
125100,100080,98.95,151,96
125200,100160,98.9,152,97
125300,100240,98.85,153,98
125400,100320,98.8,154,99
125500,100400,98.75,155,85
125600,100480,98.7,156,86
125700,100560,98.65,157,87
125800,100640,98.6,158,88
125900,100720,98.55,159,89
126000,100800,99.0,160,90
126100,100880,98.95,161,91
126200,100960,98.9,162,92
126300,101040,98.85,163,93
126400,101120,98.8,164,94
126500,101200,98.75,165,95
126600,101280,98.7,166,96
126700,101360,98.65,167,97
126800,101440,98.6,168,98
126900,101520,98.55,169,99
127000,101600,99.0,170,85
127100,101680,98.95,171,86
127200,101760,98.9,172,87
127300,101840,98.85,173,88
127400,101920,98.8,174,89
127500,102000,98.75,175,90
127600,102080,98.7,176,91
127700,102160,98.65,177,92
127800,102240,98.6,178,93
127900,102320,98.55,179,94
128000,102400,99.0,180,95
128100,102480,98.95,181,96
128200,102560,98.9,182,97
128300,102640,98.85,183,98
128400,102720,98.8,184,99
128500,102800,98.75,185,85
128600,102880,98.7,186,86
128700,102960,98.65,187,87
128800,103040,98.6,188,88
128900,103120,98.55,189,89
129000,103200,99.0,190,90
129100,103280,98.95,191,91
129200,103360,98.9,192,92
129300,103440,98.85,193,93
129400,103520,98.8,194,94
129500,103600,98.75,195,95
129600,103680,98.7,196,96
129700,103760,98.65,197,97
129800,103840,98.6,198,98
129900,103920,98.55,199,99
130000,104000,99.0,200,85
130100,104080,98.95,201,86
130200,104160,98.9,202,87
130300,104240,98.85,203,88
130400,104320,98.8,204,89
130500,104400,98.75,205,90
130600,104480,98.7,206,91
130700,104560,98.65,207,92
130800,104640,98.6,208,93
130900,104720,98.55,209,94
131000,104800,99.0,210,95
131100,104880,98.95,211,96
131200,104960,98.9,212,97
131300,105040,98.85,213,98
131400,105120,98.8,214,99
131500,105200,98.75,215,85
131600,105280,98.7,216,86
131700,105360,98.65,217,87
131800,105440,98.6,218,88
131900,105520,98.55,219,89
132000,105600,99.0,220,90
132100,105680,98.95,221,91
132200,105760,98.9,222,92
132300,105840,98.85,223,93
132400,105920,98.8,224,94
132500,106000,98.75,225,95
132600,106080,98.7,226,96
132700,106160,98.65,227,97
132800,106240,98.6,228,98
132900,106320,98.55,229,99
133000,106400,99.0,230,85
133100,106480,98.95,231,86
133200,106560,98.9,232,87
133300,106640,98.85,233,88
133400,106720,98.8,234,89
133500,106800,98.75,235,90
133600,106880,98.7,236,91
133700,106960,98.65,237,92
133800,107040,98.6,238,93
133900,107120,98.55,239,94
134000,107200,99.0,240,95
134100,107280,98.95,241,96
134200,107360,98.9,242,97
134300,107440,98.85,243,98
134400,107520,98.8,244,99
134500,107600,98.75,245,85
134600,107680,98.7,246,86
134700,107760,98.65,247,87
134800,107840,98.6,248,88
134900,107920,98.55,249,89
135000,108000,99.0,250,90
135100,108080,98.95,251,91
135200,108160,98.9,252,92
135300,108240,98.85,253,93
135400,108320,98.8,254,94
135500,108400,98.75,255,95
135600,108480,98.7,256,96
135700,108560,98.65,257,97
135800,108640,98.6,258,98
135900,108720,98.55,259,99
136000,108800,99.0,260,85
136100,108880,98.95,261,86
136200,108960,98.9,262,87
136300,109040,98.85,263,88
136400,109120,98.8,264,89
136500,109200,98.75,265,90
136600,109280,98.7,266,91
136700,109360,98.65,267,92
136800,109440,98.6,268,93
136900,109520,98.55,269,94
137000,109600,99.0,270,95
137100,109680,98.95,271,96
137200,109760,98.9,272,97
137300,109840,98.85,273,98
137400,109920,98.8,274,99
137500,110000,98.75,275,85
137600,110080,98.7,276,86
137700,110160,98.65,277,87
137800,110240,98.6,278,88
137900,110320,98.55,279,89
138000,110400,99.0,280,90
138100,110480,98.95,281,91
138200,110560,98.9,282,92
138300,110640,98.85,283,93
138400,110720,98.8,284,94
138500,110800,98.75,285,95
138600,110880,98.7,286,96
138700,110960,98.65,287,97
138800,111040,98.6,288,98
138900,111120,98.55,289,99
139000,111200,99.0,290,85
139100,111280,98.95,291,86
139200,111360,98.9,292,87
139300,111440,98.85,293,88
139400,111520,98.8,294,89
139500,111600,98.75,295,90
139600,111680,98.7,296,91
139700,111760,98.65,297,92
139800,111840,98.6,298,93
139900,111920,98.55,299,94
140000,112000,99.0,100,95
140100,112080,98.95,101,96
140200,112160,98.9,102,97
140300,112240,98.85,103,98
140400,112320,98.8,104,99
140500,112400,98.75,105,85
140600,112480,98.7,106,86
140700,112560,98.65,107,87
140800,112640,98.6,108,88
140900,112720,98.55,109,89
141000,112800,99.0,110,90
141100,112880,98.95,111,91
141200,112960,98.9,112,92
141300,113040,98.85,113,93
141400,113120,98.8,114,94
141500,113200,98.75,115,95
141600,113280,98.7,116,96
141700,113360,98.65,117,97
141800,113440,98.6,118,98
141900,113520,98.55,119,99
142000,113600,99.0,120,85
142100,113680,98.95,121,86
142200,113760,98.9,122,87
142300,113840,98.85,123,88
142400,113920,98.8,124,89
142500,114000,98.75,125,90
142600,114080,98.7,126,91
142700,114160,98.65,127,92
142800,114240,98.6,128,93
142900,114320,98.55,129,94
143000,114400,99.0,130,95
143100,114480,98.95,131,96
143200,114560,98.9,132,97
143300,114640,98.85,133,98
143400,114720,98.8,134,99
143500,114800,98.75,135,85
143600,114880,98.7,136,86
143700,114960,98.65,137,87
143800,115040,98.6,138,88
143900,115120,98.55,139,89
144000,115200,99.0,140,90
144100,115280,98.95,141,91
144200,115360,98.9,142,92
144300,115440,98.85,143,93
144400,115520,98.8,144,94
144500,115600,98.75,145,95
144600,115680,98.7,146,96
144700,115760,98.65,147,97
144800,115840,98.6,148,98
144900,115920,98.55,149,99
145000,116000,99.0,150,85
145100,116080,98.95,151,86
145200,116160,98.9,152,87
145300,116240,98.85,153,88
145400,116320,98.8,154,89
145500,116400,98.75,155,90
145600,116480,98.7,156,91
145700,116560,98.65,157,92
145800,116640,98.6,158,93
145900,116720,98.55,159,94
146000,116800,99.0,160,95
146100,116880,98.95,161,96
146200,116960,98.9,162,97
146300,117040,98.85,163,98
146400,117120,98.8,164,99
146500,117200,98.75,165,85
146600,117280,98.7,166,86
146700,117360,98.65,167,87
146800,117440,98.6,168,88
146900,117520,98.55,169,89
147000,117600,99.0,170,90
147100,117680,98.95,171,91
147200,117760,98.9,172,92
147300,117840,98.85,173,93
147400,117920,98.8,174,94
147500,118000,98.75,175,95
147600,118080,98.7,176,96
147700,118160,98.65,177,97
147800,118240,98.6,178,98
147900,118320,98.55,179,99
148000,118400,99.0,180,85
148100,118480,98.95,181,86
148200,118560,98.9,182,87
148300,118640,98.85,183,88
148400,118720,98.8,184,89
148500,118800,98.75,185,90
148600,118880,98.7,186,91
148700,118960,98.65,187,92
148800,119040,98.6,188,93
148900,119120,98.55,189,94
149000,119200,99.0,190,95
149100,119280,98.95,191,96
149200,119360,98.9,192,97
149300,119440,98.85,193,98
149400,119520,98.8,194,99
149500,119600,98.75,195,85
149600,119680,98.7,196,86
149700,119760,98.65,197,87
149800,119840,98.6,198,88
149900,119920,98.55,199,89
150000,120000,99.0,200,90
150100,120080,98.95,201,91
150200,120160,98.9,202,92
150300,120240,98.85,203,93
150400,120320,98.8,204,94
150500,120400,98.75,205,95
150600,120480,98.7,206,96
150700,120560,98.65,207,97
150800,120640,98.6,208,98
150900,120720,98.55,209,99
151000,120800,99.0,210,85
151100,120880,98.95,211,86
151200,120960,98.9,212,87
151300,121040,98.85,213,88
151400,121120,98.8,214,89
151500,121200,98.75,215,90
151600,121280,98.7,216,91
151700,121360,98.65,217,92
151800,121440,98.6,218,93
151900,121520,98.55,219,94
152000,121600,99.0,220,95
152100,121680,98.95,221,96
152200,121760,98.9,222,97
152300,121840,98.85,223,98
152400,121920,98.8,224,99
152500,122000,98.75,225,85
152600,122080,98.7,226,86
152700,122160,98.65,227,87
152800,122240,98.6,228,88
152900,122320,98.55,229,89
153000,122400,99.0,230,90
153100,122480,98.95,231,91
153200,122560,98.9,232,92
153300,122640,98.85,233,93
153400,122720,98.8,234,94
153500,122800,98.75,235,95
153600,122880,98.7,236,96
153700,122960,98.65,237,97
153800,123040,98.6,238,98
153900,123120,98.55,239,99
154000,123200,99.0,240,85
154100,123280,98.95,241,86
154200,123360,98.9,242,87
154300,123440,98.85,243,88
154400,123520,98.8,244,89
154500,123600,98.75,245,90
154600,123680,98.7,246,91
154700,123760,98.65,247,92
154800,123840,98.6,248,93
154900,123920,98.55,249,94
155000,124000,99.0,250,95
155100,124080,98.95,251,96
155200,124160,98.9,252,97
155300,124240,98.85,253,98
155400,124320,98.8,254,99
155500,124400,98.75,255,85
155600,124480,98.7,256,86
155700,124560,98.65,257,87
155800,124640,98.6,258,88
155900,124720,98.55,259,89
156000,124800,99.0,260,90
156100,124880,98.95,261,91
156200,124960,98.9,262,92
156300,125040,98.85,263,93
156400,125120,98.8,264,94
156500,125200,98.75,265,95
156600,125280,98.7,266,96
156700,125360,98.65,267,97
156800,125440,98.6,268,98
156900,125520,98.55,269,99
157000,125600,99.0,270,85
157100,125680,98.95,271,86
157200,125760,98.9,272,87
157300,125840,98.85,273,88
157400,125920,98.8,274,89
157500,126000,98.75,275,90
157600,126080,98.7,276,91
157700,126160,98.65,277,92
157800,126240,98.6,278,93
157900,126320,98.55,279,94
158000,126400,99.0,280,95
158100,126480,98.95,281,96
158200,126560,98.9,282,97
158300,126640,98.85,283,98
158400,126720,98.8,284,99
158500,126800,98.75,285,85
158600,126880,98.7,286,86
158700,126960,98.65,287,87
158800,127040,98.6,288,88
158900,127120,98.55,289,89
159000,127200,99.0,290,90
159100,127280,98.95,291,91
159200,127360,98.9,292,92
159300,127440,98.85,293,93
159400,127520,98.8,294,94
159500,127600,98.75,295,95
159600,127680,98.7,296,96
159700,127760,98.65,297,97
159800,127840,98.6,298,98
159900,127920,98.55,299,99
160000,128000,99.0,100,85
160100,128080,98.95,101,86
160200,128160,98.9,102,87
160300,128240,98.85,103,88
160400,128320,98.8,104,89
160500,128400,98.75,105,90
160600,128480,98.7,106,91
160700,128560,98.65,107,92
160800,128640,98.6,108,93
160900,128720,98.55,109,94
161000,128800,99.0,110,95
161100,128880,98.95,111,96
161200,128960,98.9,112,97
161300,129040,98.85,113,98
161400,129120,98.8,114,99
161500,129200,98.75,115,85
161600,129280,98.7,116,86
161700,129360,98.65,117,87
161800,129440,98.6,118,88
161900,129520,98.55,119,89
162000,129600,99.0,120,90
162100,129680,98.95,121,91
162200,129760,98.9,122,92
162300,129840,98.85,123,93
162400,129920,98.8,124,94
162500,130000,98.75,125,95
162600,130080,98.7,126,96
162700,130160,98.65,127,97
162800,130240,98.6,128,98
162900,130320,98.55,129,99
163000,130400,99.0,130,85
163100,130480,98.95,131,86
163200,130560,98.9,132,87
163300,130640,98.85,133,88
163400,130720,98.8,134,89
163500,130800,98.75,135,90
163600,130880,98.7,136,91
163700,130960,98.65,137,92
163800,131040,98.6,138,93
163900,131120,98.55,139,94
164000,131200,99.0,140,95
164100,131280,98.95,141,96
164200,131360,98.9,142,97
164300,131440,98.85,143,98
164400,131520,98.8,144,99
164500,131600,98.75,145,85
164600,131680,98.7,146,86
164700,131760,98.65,147,87
164800,131840,98.6,148,88
164900,131920,98.55,149,89
165000,132000,99.0,150,90
165100,132080,98.95,151,91
165200,132160,98.9,152,92
165300,132240,98.85,153,93
165400,132320,98.8,154,94
165500,132400,98.75,155,95
165600,132480,98.7,156,96
165700,132560,98.65,157,97
165800,132640,98.6,158,98
165900,132720,98.55,159,99
166000,132800,99.0,160,85
166100,132880,98.95,161,86
166200,132960,98.9,162,87
166300,133040,98.85,163,88
166400,133120,98.8,164,89
166500,133200,98.75,165,90
166600,133280,98.7,166,91
166700,133360,98.65,167,92
166800,133440,98.6,168,93
166900,133520,98.55,169,94
167000,133600,99.0,170,95
167100,133680,98.95,171,96
167200,133760,98.9,172,97
167300,133840,98.85,173,98
167400,133920,98.8,174,99
167500,134000,98.75,175,85
167600,134080,98.7,176,86
167700,134160,98.65,177,87
167800,134240,98.6,178,88
167900,134320,98.55,179,89
168000,134400,99.0,180,90
168100,134480,98.95,181,91
168200,134560,98.9,182,92
168300,134640,98.85,183,93
168400,134720,98.8,184,94
168500,134800,98.75,185,95
168600,134880,98.7,186,96
168700,134960,98.65,187,97
168800,135040,98.6,188,98
168900,135120,98.55,189,99
169000,135200,99.0,190,85
169100,135280,98.95,191,86
169200,135360,98.9,192,87
169300,135440,98.85,193,88
169400,135520,98.8,194,89
169500,135600,98.75,195,90
169600,135680,98.7,196,91
169700,135760,98.65,197,92
169800,135840,98.6,198,93
169900,135920,98.55,199,94
170000,136000,99.0,200,95
170100,136080,98.95,201,96
170200,136160,98.9,202,97
170300,136240,98.85,203,98
170400,136320,98.8,204,99
170500,136400,98.75,205,85
170600,136480,98.7,206,86
170700,136560,98.65,207,87
170800,136640,98.6,208,88
170900,136720,98.55,209,89
171000,136800,99.0,210,90
171100,136880,98.95,211,91
171200,136960,98.9,212,92
171300,137040,98.85,213,93
171400,137120,98.8,214,94
171500,137200,98.75,215,95
171600,137280,98.7,216,96
171700,137360,98.65,217,97
171800,137440,98.6,218,98
171900,137520,98.55,219,99
172000,137600,99.0,220,85
172100,137680,98.95,221,86
172200,137760,98.9,222,87
172300,137840,98.85,223,88
172400,137920,98.8,224,89
172500,138000,98.75,225,90
172600,138080,98.7,226,91
172700,138160,98.65,227,92
172800,138240,98.6,228,93
172900,138320,98.55,229,94
173000,138400,99.0,230,95
173100,138480,98.95,231,96
173200,138560,98.9,232,97
173300,138640,98.85,233,98
173400,138720,98.8,234,99
173500,138800,98.75,235,85
173600,138880,98.7,236,86
173700,138960,98.65,237,87
173800,139040,98.6,238,88
173900,139120,98.55,239,89
174000,139200,99.0,240,90
174100,139280,98.95,241,91
174200,139360,98.9,242,92
174300,139440,98.85,243,93
174400,139520,98.8,244,94
174500,139600,98.75,245,95
174600,139680,98.7,246,96
174700,139760,98.65,247,97
174800,139840,98.6,248,98
174900,139920,98.55,249,99
175000,140000,99.0,250,85
175100,140080,98.95,251,86
175200,140160,98.9,252,87
175300,140240,98.85,253,88
175400,140320,98.8,254,89
175500,140400,98.75,255,90
175600,140480,98.7,256,91
175700,140560,98.65,257,92
175800,140640,98.6,258,93
175900,140720,98.55,259,94
176000,140800,99.0,260,95
176100,140880,98.95,261,96
176200,140960,98.9,262,97
176300,141040,98.85,263,98
176400,141120,98.8,264,99
176500,141200,98.75,265,85
176600,141280,98.7,266,86
176700,141360,98.65,267,87
176800,141440,98.6,268,88
176900,141520,98.55,269,89
177000,141600,99.0,270,90
177100,141680,98.95,271,91
177200,141760,98.9,272,92
177300,141840,98.85,273,93
177400,141920,98.8,274,94
177500,142000,98.75,275,95
177600,142080,98.7,276,96
177700,142160,98.65,277,97
177800,142240,98.6,278,98
177900,142320,98.55,279,99
178000,142400,99.0,280,85
178100,142480,98.95,281,86
178200,142560,98.9,282,87
178300,142640,98.85,283,88
178400,142720,98.8,284,89
178500,142800,98.75,285,90
178600,142880,98.7,286,91
178700,142960,98.65,287,92
178800,143040,98.6,288,93
178900,143120,98.55,289,94
179000,143200,99.0,290,95
179100,143280,98.95,291,96
179200,143360,98.9,292,97
179300,143440,98.85,293,98
179400,143520,98.8,294,99
179500,143600,98.75,295,85
179600,143680,98.7,296,86
179700,143760,98.65,297,87
179800,143840,98.6,298,88
179900,143920,98.55,299,89
180000,144000,99.0,100,90
180100,144080,98.95,101,91
180200,144160,98.9,102,92
180300,144240,98.85,103,93
180400,144320,98.8,104,94
180500,144400,98.75,105,95
180600,144480,98.7,106,96
180700,144560,98.65,107,97
180800,144640,98.6,108,98
180900,144720,98.55,109,99
181000,144800,99.0,110,85
181100,144880,98.95,111,86
181200,144960,98.9,112,87
181300,145040,98.85,113,88
181400,145120,98.8,114,89
181500,145200,98.75,115,90
181600,145280,98.7,116,91
181700,145360,98.65,117,92
181800,145440,98.6,118,93
181900,145520,98.55,119,94
182000,145600,99.0,120,95
182100,145680,98.95,121,96
182200,145760,98.9,122,97
182300,145840,98.85,123,98
182400,145920,98.8,124,99
182500,146000,98.75,125,85
182600,146080,98.7,126,86
182700,146160,98.65,127,87
182800,146240,98.6,128,88
182900,146320,98.55,129,89
183000,146400,99.0,130,90
183100,146480,98.95,131,91
183200,146560,98.9,132,92
183300,146640,98.85,133,93
183400,146720,98.8,134,94
183500,146800,98.75,135,95
183600,146880,98.7,136,96
183700,146960,98.65,137,97
183800,147040,98.6,138,98
183900,147120,98.55,139,99
184000,147200,99.0,140,85
184100,147280,98.95,141,86
184200,147360,98.9,142,87
184300,147440,98.85,143,88
184400,147520,98.8,144,89
184500,147600,98.75,145,90
184600,147680,98.7,146,91
184700,147760,98.65,147,92
184800,147840,98.6,148,93
184900,147920,98.55,149,94
185000,148000,99.0,150,95
185100,148080,98.95,151,96
185200,148160,98.9,152,97
185300,148240,98.85,153,98
185400,148320,98.8,154,99
185500,148400,98.75,155,85
185600,148480,98.7,156,86
185700,148560,98.65,157,87
185800,148640,98.6,158,88
185900,148720,98.55,159,89
186000,148800,99.0,160,90
186100,148880,98.95,161,91
186200,148960,98.9,162,92
186300,149040,98.85,163,93
186400,149120,98.8,164,94
186500,149200,98.75,165,95
186600,149280,98.7,166,96
186700,149360,98.65,167,97
186800,149440,98.6,168,98
186900,149520,98.55,169,99
187000,149600,99.0,170,85
187100,149680,98.95,171,86
187200,149760,98.9,172,87
187300,149840,98.85,173,88
187400,149920,98.8,174,89
187500,150000,98.75,175,90
187600,150080,98.7,176,91
187700,150160,98.65,177,92
187800,150240,98.6,178,93
187900,150320,98.55,179,94
188000,150400,99.0,180,95
188100,150480,98.95,181,96
188200,150560,98.9,182,97
188300,150640,98.85,183,98
188400,150720,98.8,184,99
188500,150800,98.75,185,85
188600,150880,98.7,186,86
188700,150960,98.65,187,87
188800,151040,98.6,188,88
188900,151120,98.55,189,89
189000,151200,99.0,190,90
189100,151280,98.95,191,91
189200,151360,98.9,192,92
189300,151440,98.85,193,93
189400,151520,98.8,194,94
189500,151600,98.75,195,95
189600,151680,98.7,196,96
189700,151760,98.65,197,97
189800,151840,98.6,198,98
189900,151920,98.55,199,99
190000,152000,99.0,200,85
190100,152080,98.95,201,86
190200,152160,98.9,202,87
190300,152240,98.85,203,88
190400,152320,98.8,204,89
190500,152400,98.75,205,90
190600,152480,98.7,206,91
190700,152560,98.65,207,92
190800,152640,98.6,208,93
190900,152720,98.55,209,94
191000,152800,99.0,210,95
191100,152880,98.95,211,96
191200,152960,98.9,212,97
191300,153040,98.85,213,98
191400,153120,98.8,214,99
191500,153200,98.75,215,85
191600,153280,98.7,216,86
191700,153360,98.65,217,87
191800,153440,98.6,218,88
191900,153520,98.55,219,89
192000,153600,99.0,220,90
192100,153680,98.95,221,91
192200,153760,98.9,222,92
192300,153840,98.85,223,93
192400,153920,98.8,224,94
192500,154000,98.75,225,95
192600,154080,98.7,226,96
192700,154160,98.65,227,97
192800,154240,98.6,228,98
192900,154320,98.55,229,99
193000,154400,99.0,230,85
193100,154480,98.95,231,86
193200,154560,98.9,232,87
193300,154640,98.85,233,88
193400,154720,98.8,234,89
193500,154800,98.75,235,90
193600,154880,98.7,236,91
193700,154960,98.65,237,92
193800,155040,98.6,238,93
193900,155120,98.55,239,94
194000,155200,99.0,240,95
194100,155280,98.95,241,96
194200,155360,98.9,242,97
194300,155440,98.85,243,98
194400,155520,98.8,244,99
194500,155600,98.75,245,85
194600,155680,98.7,246,86
194700,155760,98.65,247,87
194800,155840,98.6,248,88
194900,155920,98.55,249,89
195000,156000,99.0,250,90
195100,156080,98.95,251,91
195200,156160,98.9,252,92
195300,156240,98.85,253,93
195400,156320,98.8,254,94
195500,156400,98.75,255,95
195600,156480,98.7,256,96
195700,156560,98.65,257,97
195800,156640,98.6,258,98
195900,156720,98.55,259,99
196000,156800,99.0,260,85
196100,156880,98.95,261,86
196200,156960,98.9,262,87
196300,157040,98.85,263,88
196400,157120,98.8,264,89
196500,157200,98.75,265,90
196600,157280,98.7,266,91
196700,157360,98.65,267,92
196800,157440,98.6,268,93
196900,157520,98.55,269,94
197000,157600,99.0,270,95
197100,157680,98.95,271,96
197200,157760,98.9,272,97
197300,157840,98.85,273,98
197400,157920,98.8,274,99
197500,158000,98.75,275,85
197600,158080,98.7,276,86
197700,158160,98.65,277,87
197800,158240,98.6,278,88
197900,158320,98.55,279,89
198000,158400,99.0,280,90
198100,158480,98.95,281,91
198200,158560,98.9,282,92
198300,158640,98.85,283,93
198400,158720,98.8,284,94
198500,158800,98.75,285,95
198600,158880,98.7,286,96
198700,158960,98.65,287,97
198800,159040,98.6,288,98
198900,159120,98.55,289,99
199000,159200,99.0,290,85
199100,159280,98.95,291,86
199200,159360,98.9,292,87
199300,159440,98.85,293,88
199400,159520,98.8,294,89
199500,159600,98.75,295,90
