date,region,segment,product_line,revenue,orders,customers,review_score,cancellations,delivery_time_days,returning_customer
2026-04-12,Europe,Mid-Market,Platform,14994.13,8,5,3.5,3,10.1,0
2026-04-26,Europe,Mid-Market,Platform,7254.58,9,3,2.8,4,8.0,0
2026-08-01,APAC,SMB,AI Suite,2300.34,3,3,2.9,1,11.3,0
2026-08-05,Europe,SMB,Analytics,1643.47,4,5,3.2,2,4.3,0
2026-02-13,North America,Enterprise,AI Suite,10051.63,10,3,4.6,4,1.5,0
2026-06-16,APAC,Mid-Market,Analytics,3556.72,10,4,4.0,0,6.5,1
2026-07-26,LATAM,Mid-Market,Analytics,12206.57,7,3,3.6,0,2.7,1
2026-03-29,APAC,SMB,Platform,9296.57,6,3,4.3,2,11.7,0
2026-03-23,LATAM,SMB,Operations,4005.2,2,3,3.6,0,2.1,1
2026-03-05,LATAM,SMB,Operations,14458.94,3,3,4.8,1,3.1,0
2026-05-08,Europe,SMB,AI Suite,13246.6,8,1,2.7,3,6.6,0
2026-01-13,North America,Mid-Market,Analytics,1232.84,8,5,4.7,3,4.1,0
2026-08-14,APAC,SMB,AI Suite,4334.86,6,4,3.4,3,1.6,0
2026-01-19,Europe,Enterprise,Operations,6102.06,8,5,3.2,4,8.5,0
2026-04-06,North America,Enterprise,Platform,12026.01,6,5,4.8,1,3.2,1
2026-02-05,APAC,SMB,AI Suite,10847.08,8,5,3.6,4,10.8,0
2026-02-11,APAC,Mid-Market,Platform,6197.84,10,3,4.0,4,10.1,1
2026-04-05,Europe,SMB,Platform,5302.97,2,4,4.0,0,7.6,1
2026-05-30,North America,SMB,Platform,7466.51,9,5,4.4,3,2.6,0
2026-02-18,North America,SMB,Analytics,774.59,6,4,2.9,1,5.5,1
2026-05-13,APAC,SMB,AI Suite,3506.45,6,4,3.8,2,11.5,1
2026-06-23,Europe,Mid-Market,AI Suite,11693.85,5,5,3.7,0,4.1,1
2026-06-30,APAC,Enterprise,Operations,3505.53,8,3,3.7,4,11.3,1
2026-08-18,APAC,Mid-Market,AI Suite,14712.33,6,2,3.2,2,11.5,0
2026-07-11,North America,SMB,Analytics,7446.65,4,5,3.2,2,8.7,0
2026-03-04,LATAM,Enterprise,Analytics,1236.1,9,2,4.1,0,2.1,1
2026-01-02,APAC,Mid-Market,AI Suite,14485.52,3,4,4.1,1,6.3,0
2026-06-15,LATAM,Enterprise,Platform,1357.86,2,5,3.1,0,11.0,0
2026-08-03,APAC,SMB,Platform,6256.42,8,2,4.8,2,10.6,0
2026-08-26,LATAM,Mid-Market,Analytics,14753.41,5,4,5.0,2,6.8,0
2026-07-27,APAC,SMB,Analytics,2133.38,3,4,4.1,0,1.2,1
2026-02-14,Europe,Enterprise,Operations,9358.84,7,4,3.8,0,5.4,0
2026-03-24,APAC,SMB,Platform,14069.47,1,3,3.5,0,9.3,1
2026-03-08,APAC,SMB,Platform,9978.41,4,1,4.2,1,4.4,1
2026-06-13,Europe,Mid-Market,AI Suite,13783.89,5,3,4.0,0,11.5,1
2026-04-17,LATAM,SMB,AI Suite,10678.14,8,5,4.5,1,9.4,0
2026-01-20,Europe,Mid-Market,Operations,13800.05,2,1,4.6,0,7.3,0
2026-01-30,LATAM,Enterprise,Operations,10364.28,10,4,2.7,4,5.9,0
2026-04-27,APAC,Enterprise,Analytics,8676.71,9,4,4.2,2,9.0,1
2026-05-29,LATAM,Enterprise,AI Suite,1558.93,7,3,4.3,0,11.3,0
2026-04-15,LATAM,Enterprise,Analytics,3109.73,3,4,3.4,1,5.9,1
2026-06-17,North America,Enterprise,AI Suite,12974.16,2,2,5.0,1,6.8,0
2026-04-29,Europe,Mid-Market,Analytics,10265.75,9,4,3.8,1,3.7,1
2026-08-28,Europe,Enterprise,Platform,13190.52,2,1,4.5,1,7.8,0
2026-01-26,LATAM,Mid-Market,Analytics,9112.19,8,5,4.2,0,3.7,0
2026-05-19,APAC,Enterprise,AI Suite,3650.4,1,2,3.8,0,3.6,1
2026-08-13,LATAM,SMB,Operations,2577.28,9,2,3.5,2,1.7,0
2026-01-13,LATAM,Enterprise,Operations,14598.21,7,5,3.3,3,5.5,1
2026-03-03,Europe,Mid-Market,Analytics,12815.44,5,2,4.5,0,7.2,1
2026-03-07,North America,Mid-Market,Operations,3448.38,2,4,4.6,0,6.9,0
2026-06-22,APAC,Enterprise,Analytics,9272.06,1,1,3.0,0,6.3,1
2026-08-28,APAC,Mid-Market,Operations,3255.34,2,4,4.8,0,5.4,0
2026-04-30,APAC,Enterprise,AI Suite,8237.93,6,3,3.2,3,6.1,1
2026-03-22,APAC,Enterprise,Analytics,6501.99,10,2,4.4,0,3.9,1
2026-03-26,APAC,Mid-Market,Operations,3835.27,10,2,3.7,5,11.4,1
2026-04-28,North America,Enterprise,Platform,2939.39,6,2,2.8,3,3.0,0
2026-07-15,APAC,Enterprise,Operations,592.57,3,2,2.7,0,1.1,1
2026-06-18,APAC,Enterprise,Operations,7573.89,1,5,3.9,0,1.2,1
2026-07-26,APAC,Mid-Market,Operations,14125.82,3,1,4.8,0,3.7,1
2026-01-21,North America,Enterprise,Operations,5909.25,7,4,3.9,1,4.3,0
2026-04-08,APAC,SMB,Platform,5968.96,8,1,4.1,1,1.9,1
2026-08-18,APAC,SMB,Platform,8158.31,1,2,3.0,0,4.0,0
2026-02-15,North America,Mid-Market,Analytics,13967.11,6,1,4.9,1,9.3,1
2026-05-25,APAC,Enterprise,Platform,3986.85,7,5,3.3,1,9.7,0
2026-04-22,North America,SMB,AI Suite,3866.09,2,3,4.0,1,11.7,1
2026-07-20,North America,SMB,AI Suite,14892.5,8,2,3.4,3,5.8,1
2026-07-24,LATAM,Mid-Market,AI Suite,4073.52,2,1,3.2,1,8.8,0
2026-01-28,Europe,Mid-Market,Operations,1827.05,5,4,3.4,1,2.1,0
2026-05-23,LATAM,Enterprise,AI Suite,8543.73,7,1,2.6,2,7.1,1
2026-04-16,LATAM,Enterprise,Analytics,6123.09,2,5,4.8,0,7.3,0
2026-03-10,LATAM,Enterprise,AI Suite,4866.4,8,2,2.7,3,4.0,1
2026-03-06,North America,Mid-Market,AI Suite,14191.22,8,5,4.0,3,2.2,1
2026-08-04,LATAM,Mid-Market,Analytics,9492.79,6,4,3.3,1,4.3,0
2026-04-12,LATAM,Mid-Market,Platform,14546.52,5,4,4.9,0,4.6,1
2026-08-27,Europe,Mid-Market,AI Suite,8675.83,10,5,2.9,4,1.3,1
2026-08-01,LATAM,Mid-Market,Platform,10546.11,7,4,2.8,2,3.7,0
2026-04-25,North America,Mid-Market,Platform,14865.16,8,5,3.5,4,11.2,1
2026-01-28,APAC,Mid-Market,Platform,11649.83,6,2,4.1,0,7.2,1
2026-01-03,LATAM,Mid-Market,Operations,1929.8,4,5,4.4,2,7.4,0
2026-04-29,LATAM,Enterprise,Platform,11698.96,10,5,2.9,0,6.3,1
2026-08-01,APAC,Mid-Market,Platform,14139.8,3,3,3.3,1,9.6,1
2026-04-23,North America,Mid-Market,Platform,10968.91,8,3,2.7,0,9.9,0
2026-06-23,LATAM,Enterprise,Operations,12100.73,4,5,2.9,0,4.6,1
2026-06-11,LATAM,Enterprise,Analytics,3174.55,7,4,2.6,1,5.9,1
2026-02-22,LATAM,Enterprise,AI Suite,4536.0,2,5,2.8,0,5.0,0
2026-06-21,APAC,Mid-Market,Operations,13008.23,9,3,4.0,4,5.3,0
2026-06-08,Europe,Mid-Market,Platform,3001.65,5,5,4.0,2,2.5,0
2026-02-16,Europe,Mid-Market,Analytics,5912.94,3,5,3.5,0,7.3,1
2026-05-23,North America,Mid-Market,Analytics,2919.55,5,2,3.0,1,7.8,1
2026-02-19,LATAM,Mid-Market,Analytics,12320.63,9,5,4.1,3,8.5,1
2026-01-22,LATAM,SMB,Operations,8698.27,4,3,2.6,0,6.9,0
2026-05-21,North America,SMB,Operations,7906.69,10,1,3.2,4,10.1,1
2026-05-20,LATAM,Mid-Market,AI Suite,3668.86,7,1,4.3,1,4.3,0
2026-08-09,LATAM,Enterprise,Analytics,12342.56,8,1,4.4,1,3.3,1
2026-07-20,APAC,SMB,AI Suite,3495.99,4,1,3.9,2,4.1,0
2026-03-16,Europe,SMB,Analytics,8804.67,9,1,2.8,3,11.1,1
2026-03-05,LATAM,Mid-Market,Operations,2620.53,6,2,4.4,3,6.4,1
2026-01-20,LATAM,Mid-Market,AI Suite,9687.6,2,4,3.8,1,8.6,1
2026-05-29,Europe,Mid-Market,Analytics,535.86,2,4,4.1,1,10.4,1
2026-05-07,APAC,SMB,Platform,4393.78,5,3,3.9,0,7.2,1
2026-01-12,LATAM,Enterprise,Analytics,1943.83,8,1,2.8,1,5.9,0
2026-08-14,Europe,Enterprise,Operations,9924.96,3,3,2.7,1,3.8,1
2026-06-10,LATAM,Enterprise,Analytics,4929.88,4,4,4.1,2,2.0,0
2026-06-01,Europe,Mid-Market,Platform,3779.77,8,1,2.5,2,10.0,1
2026-02-28,Europe,Enterprise,Platform,6054.51,2,1,3.3,1,2.5,0
2026-06-06,Europe,Enterprise,Platform,9925.29,8,3,4.3,1,11.1,1
2026-02-05,Europe,Mid-Market,Platform,11410.46,10,4,3.4,3,4.5,0
2026-03-05,Europe,SMB,Analytics,8524.25,10,5,3.2,5,1.3,1
2026-07-11,North America,Mid-Market,AI Suite,6180.39,1,2,3.7,0,3.7,0
2026-02-03,North America,Enterprise,Platform,6109.15,10,4,3.4,5,2.9,1
2026-01-04,LATAM,SMB,Operations,4301.69,1,1,4.9,0,6.6,1
2026-01-22,Europe,SMB,AI Suite,9787.79,9,5,2.9,0,4.4,0
2026-04-11,LATAM,Enterprise,Operations,9003.34,2,3,4.2,0,1.6,0
2026-06-06,Europe,Mid-Market,AI Suite,9328.07,5,2,2.8,2,2.5,0
2026-05-14,North America,Enterprise,AI Suite,7999.73,5,2,3.4,2,9.6,1
2026-07-26,LATAM,SMB,AI Suite,6725.21,9,1,3.2,4,7.9,1
2026-01-15,Europe,SMB,Platform,7744.35,10,2,3.4,2,9.5,0
2026-01-12,Europe,Enterprise,Operations,12950.99,1,2,2.6,0,5.2,0
2026-02-27,North America,Enterprise,Analytics,5166.13,7,3,3.2,0,7.3,0
2026-07-25,APAC,Enterprise,Operations,7978.72,1,4,2.7,0,10.5,1
2026-01-03,APAC,SMB,Operations,5849.33,5,5,4.5,2,7.8,1
2026-07-17,North America,Mid-Market,Platform,11750.35,9,2,2.9,3,1.3,1
2026-07-14,Europe,SMB,AI Suite,10030.91,5,1,3.0,0,5.6,0
2026-01-24,North America,SMB,Analytics,1136.55,4,5,3.5,1,6.0,0
2026-06-13,Europe,Mid-Market,AI Suite,12389.46,2,5,3.9,1,8.3,0
2026-08-06,Europe,SMB,Platform,5067.63,7,3,3.3,2,3.6,0
2026-02-09,LATAM,Mid-Market,Operations,2032.04,8,4,3.3,0,6.9,0
2026-03-09,Europe,Mid-Market,Analytics,12860.99,2,2,4.5,1,10.1,0
2026-01-24,North America,Mid-Market,Operations,10811.78,6,4,3.8,2,3.9,0
2026-05-23,Europe,Enterprise,Analytics,11347.14,4,1,3.7,0,2.3,0
2026-07-30,Europe,SMB,Operations,6308.44,2,5,4.0,0,1.2,0
2026-07-27,LATAM,Mid-Market,Platform,2367.48,6,1,2.6,3,1.6,1
2026-04-08,Europe,Enterprise,Analytics,10406.59,3,3,3.0,0,4.0,1
2026-06-15,LATAM,Enterprise,Analytics,4779.02,7,5,3.7,0,4.1,0
2026-06-11,APAC,SMB,AI Suite,14914.27,9,1,5.0,2,6.3,1
2026-04-10,North America,Mid-Market,AI Suite,4421.32,1,3,4.0,0,10.9,1
2026-07-16,Europe,SMB,Operations,8967.84,4,2,2.8,2,3.7,0
2026-04-01,North America,SMB,AI Suite,14060.49,3,2,3.1,1,9.9,1
2026-05-26,LATAM,Enterprise,Platform,8672.29,10,2,4.6,3,7.0,0
2026-01-15,Europe,Mid-Market,Analytics,3873.04,4,1,3.8,0,4.6,0
2026-08-24,North America,Mid-Market,Operations,12135.15,6,1,2.6,1,9.5,1
2026-05-31,LATAM,SMB,AI Suite,1964.97,5,3,2.8,0,9.1,1
2026-02-14,LATAM,Mid-Market,AI Suite,10754.15,9,5,4.5,1,8.3,0
2026-02-02,Europe,SMB,Platform,3076.77,1,5,3.5,0,3.0,1
2026-08-28,APAC,Mid-Market,Platform,7694.68,6,1,3.1,2,2.8,0
2026-03-09,LATAM,Mid-Market,Operations,3540.42,2,3,3.1,0,8.9,0
2026-02-12,Europe,Enterprise,Operations,13326.0,8,4,3.4,3,2.1,1
2026-01-19,APAC,Enterprise,Operations,12088.32,1,3,2.6,0,11.5,0
2026-02-11,LATAM,SMB,Analytics,11113.78,9,1,3.3,4,10.8,0
2026-06-05,APAC,SMB,AI Suite,13401.42,3,1,2.8,0,11.7,1
2026-03-18,North America,Mid-Market,Platform,3944.45,1,4,3.9,0,2.7,1
2026-03-17,North America,Mid-Market,Platform,12446.51,10,4,3.0,0,3.3,1
2026-03-20,Europe,Mid-Market,Operations,11880.71,8,4,4.7,2,2.0,1
2026-04-05,North America,Enterprise,Platform,3205.45,1,3,3.6,0,3.5,1
2026-01-22,LATAM,SMB,Operations,10188.05,9,4,4.9,4,3.5,0
2026-05-18,North America,SMB,Analytics,10462.49,8,5,4.7,3,4.3,1
2026-01-31,Europe,Enterprise,Operations,14264.19,8,2,4.9,1,11.7,0
2026-01-21,APAC,SMB,Platform,14830.06,7,2,5.0,1,10.2,1
2026-01-23,LATAM,Enterprise,Operations,6127.44,7,5,3.3,2,6.7,0
2026-02-08,APAC,SMB,AI Suite,2648.9,10,5,4.4,0,11.2,0
2026-08-13,LATAM,Enterprise,Operations,6457.91,7,4,3.9,3,1.4,1
2026-01-10,North America,Mid-Market,AI Suite,6238.99,6,2,2.6,3,11.1,1
2026-03-21,APAC,Mid-Market,Operations,4565.03,8,1,4.9,1,2.5,1
2026-06-04,North America,SMB,Analytics,9860.54,4,4,3.0,1,9.2,1
2026-01-17,Europe,Enterprise,Analytics,5011.28,9,4,2.8,4,10.7,0
2026-08-03,APAC,Mid-Market,Operations,1335.6,1,4,2.6,0,8.8,1
